EntryID	Reaction	Buffer	ECNumber	CellularLocation	UniProtKB_AC	Tissue	Enzyme Variant	Enzymename	Organism	Temperature	pH	Activator	Cofactor	Inhibitor	KeggReactionID	KineticMechanismType	Other Modifier	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Pathway	Product	PubMedID	Publication	Rate Equation	SabioReactionID	Substrate
12706	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 2 mM Triethanolamine, 5.4 mM EDTA, 0.67 mg/ml glycerol-1-phosphate dehydrogenase, 4.2 mM NADH]	5.3.1.1	[unknown, unknown, unknown]	P60174	liver	wildtype	triose-phosphate isomerase	Homo sapiens	-	7.9				R01015	unknown		Keq		20.9		3.1	-	Inositol phosphate metabolism	D-Glyceraldehyde 3-phosphate	1168838	Snyder R, Lee EW: Triosephosphate isomerase from human and horse liver, Methods Enzymol 1975 (41) , 430-4	unknown	4	Glycerone phosphate
12706	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 2 mM Triethanolamine, 5.4 mM EDTA, 0.67 mg/ml glycerol-1-phosphate dehydrogenase, 4.2 mM NADH]	5.3.1.1	[unknown, unknown, unknown]	P60174	liver	wildtype	triose-phosphate isomerase	Homo sapiens	-	7.9				R01015	unknown		Vmax		0.002716721		8.3335E-5	katal*g^(-1)	Inositol phosphate metabolism	D-Glyceraldehyde 3-phosphate	1168838	Snyder R, Lee EW: Triosephosphate isomerase from human and horse liver, Methods Enzymol 1975 (41) , 430-4	unknown	4	Glycerone phosphate
12706	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 2 mM Triethanolamine, 5.4 mM EDTA, 0.67 mg/ml glycerol-1-phosphate dehydrogenase, 4.2 mM NADH]	5.3.1.1	[unknown, unknown, unknown]	P60174	liver	wildtype	triose-phosphate isomerase	Homo sapiens	-	7.9				R01015	unknown		Km	Glycerone phosphate	5.9E-4		1.0E-5	M	Inositol phosphate metabolism	D-Glyceraldehyde 3-phosphate	1168838	Snyder R, Lee EW: Triosephosphate isomerase from human and horse liver, Methods Enzymol 1975 (41) , 430-4	unknown	4	Glycerone phosphate
12708	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 2 mM Triethanolamine, 5.4 mM EDTA, 0.67 mg/ml glycerol-1-phosphate dehydrogenase, 4.2 mM NADH]	5.3.1.1	[unknown, unknown, unknown]		liver	wildtype	triose-phosphate isomerase	Equus caballus	-	7.9				R01015	unknown		Vmax		0.012550251		0.00208338	katal*g^(-1)	Inositol phosphate metabolism	D-Glyceraldehyde 3-phosphate	1168838	Snyder R, Lee EW: Triosephosphate isomerase from human and horse liver, Methods Enzymol 1975 (41) , 430-4	unknown	4	Glycerone phosphate
12708	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 2 mM Triethanolamine, 5.4 mM EDTA, 0.67 mg/ml glycerol-1-phosphate dehydrogenase, 4.2 mM NADH]	5.3.1.1	[unknown, unknown, unknown]		liver	wildtype	triose-phosphate isomerase	Equus caballus	-	7.9				R01015	unknown		Km	Glycerone phosphate	5.9E-4		1.0E-5	M	Inositol phosphate metabolism	D-Glyceraldehyde 3-phosphate	1168838	Snyder R, Lee EW: Triosephosphate isomerase from human and horse liver, Methods Enzymol 1975 (41) , 430-4	unknown	4	Glycerone phosphate
12708	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 2 mM Triethanolamine, 5.4 mM EDTA, 0.67 mg/ml glycerol-1-phosphate dehydrogenase, 4.2 mM NADH]	5.3.1.1	[unknown, unknown, unknown]		liver	wildtype	triose-phosphate isomerase	Equus caballus	-	7.9				R01015	unknown		Keq		14.8		2.5	-	Inositol phosphate metabolism	D-Glyceraldehyde 3-phosphate	1168838	Snyder R, Lee EW: Triosephosphate isomerase from human and horse liver, Methods Enzymol 1975 (41) , 430-4	unknown	4	Glycerone phosphate
20962	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 50 mM triethanolamine, 0.2 mM NADH, 18 µg/ml glycerol phosphate dehydrogenase,  50 mM triethanolamine, 0.2 mM NADH, 18 µg/ml glycerol phosphate dehydrogenase]	5.3.1.1	[unknown, unknown, unknown]	P00942	-	wildtype	triose-phosphate isomerase	Saccharomyces cerevisiae	25.0	7.5				R01015	Michaelis-Menten		Keq		19.0		-	-	Fructose and Mannose metabolism	Glycerone phosphate	5506172	Krietsch WK, Pentchev PG, Klingenbürg H, Hofstätter T, Bücher T: The isolation and crystallization of yeast and rabbit liver triose phosphate isomerase and a comparative characterization with the rabbit muscle enzyme, Eur J Biochem 1970 (14) , 289-300	E*kcat*S/(Km+S)	4	D-Glyceraldehyde 3-phosphate
20962	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 50 mM triethanolamine, 0.2 mM NADH, 18 µg/ml glycerol phosphate dehydrogenase,  50 mM triethanolamine, 0.2 mM NADH, 18 µg/ml glycerol phosphate dehydrogenase]	5.3.1.1	[unknown, unknown, unknown]	P00942	-	wildtype	triose-phosphate isomerase	Saccharomyces cerevisiae	25.0	7.5				R01015	Michaelis-Menten		Km	D-Glyceraldehyde 3-phosphate	0.00127		6.0E-5	M	Fructose and Mannose metabolism	Glycerone phosphate	5506172	Krietsch WK, Pentchev PG, Klingenbürg H, Hofstätter T, Bücher T: The isolation and crystallization of yeast and rabbit liver triose phosphate isomerase and a comparative characterization with the rabbit muscle enzyme, Eur J Biochem 1970 (14) , 289-300	E*kcat*S/(Km+S)	4	D-Glyceraldehyde 3-phosphate
20962	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 50 mM triethanolamine, 0.2 mM NADH, 18 µg/ml glycerol phosphate dehydrogenase,  50 mM triethanolamine, 0.2 mM NADH, 18 µg/ml glycerol phosphate dehydrogenase]	5.3.1.1	[unknown, unknown, unknown]	P00942	-	wildtype	triose-phosphate isomerase	Saccharomyces cerevisiae	25.0	7.5				R01015	Michaelis-Menten		concentration	D-Glyceraldehyde 3-phosphate	0.0	0.0016	-	M	Fructose and Mannose metabolism	Glycerone phosphate	5506172	Krietsch WK, Pentchev PG, Klingenbürg H, Hofstätter T, Bücher T: The isolation and crystallization of yeast and rabbit liver triose phosphate isomerase and a comparative characterization with the rabbit muscle enzyme, Eur J Biochem 1970 (14) , 289-300	E*kcat*S/(Km+S)	4	D-Glyceraldehyde 3-phosphate
20962	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	[ 50 mM triethanolamine, 0.2 mM NADH, 18 µg/ml glycerol phosphate dehydrogenase,  50 mM triethanolamine, 0.2 mM NADH, 18 µg/ml glycerol phosphate dehydrogenase]	5.3.1.1	[unknown, unknown, unknown]	P00942	-	wildtype	triose-phosphate isomerase	Saccharomyces cerevisiae	25.0	7.5				R01015	Michaelis-Menten		concentration	Enzyme			-	-	Fructose and Mannose metabolism	Glycerone phosphate	5506172	Krietsch WK, Pentchev PG, Klingenbürg H, Hofstätter T, Bücher T: The isolation and crystallization of yeast and rabbit liver triose phosphate isomerase and a comparative characterization with the rabbit muscle enzyme, Eur J Biochem 1970 (14) , 289-300	E*kcat*S/(Km+S)	4	D-Glyceraldehyde 3-phosphate
